cell_id,timestamp,technology,rsrp,rsrq,sinr,throughput_dl,throughput_ul,latency,jitter,packet_loss,handover_label,is_anomaly,latitude,longitude,prb_utilization,active_users,sla_compliant
CELL_017,2024-01-01 00:19:00,5G,-113.1,-17.75,21.185116387518363,24.51,9.553901987313463,25.424,3.1006108442520968,1.0478,1,0,36.82,10.17,33.0,196,1
CELL_010,2024-01-01 00:20:00,5G,-112.5,-12.8,-0.06178972635742763,231.97,71.30423852359914,1.621,0.24928870560569813,0.0183,1,0,36.82,10.17,52.4,11,1
CELL_016,2024-01-01 00:21:00,5G,-98.6,-3.28,23.51527769836059,40.71,15.171539271489396,21.074,3.2053871290825855,0.1659,1,0,36.82,10.17,23.7,198,1
CELL_015,2024-01-01 00:22:00,5G,-70.5,-6.92,21.403377205913152,915.21,275.74678414013835,7.742,0.4423934197535893,0.9264,1,0,36.82,10.17,82.9,60,1
CELL_015,2024-01-01 00:23:00,5G,-73.2,-10.04,8.357298080779746,868.7,377.85250131187036,9.299,0.6322852966696754,0.7146,1,0,36.82,10.17,80.3,45,1
CELL_019,2024-01-01 00:24:00,5G,-81.3,-19.12,11.176612006914116,1040.64,429.5594188211218,4.042,0.3359633461303688,0.3538,1,0,36.82,10.17,80.7,7,1
CELL_012,2024-01-01 00:25:00,5G,-118.0,-9.58,16.707563791192626,1097.77,473.93473093468845,372.03247809519576,118.42112483719319,29.589960595306092,0,1,36.82,10.17,65.8,51,1
CELL_020,2024-01-01 00:26:00,5G,-86.4,-18.31,14.79790609438722,233.61,115.6752972497272,2.338,0.1750295791303603,0.0404,1,0,36.82,10.17,59.4,15,1
CELL_003,2024-01-01 00:27:00,5G,-103.9,-12.78,-1.2805379257993716,2.528346601474095,0.8682742894627958,35.636,3.51710589104864,1.4727,1,1,36.82,10.17,29.1,221,1
CELL_005,2024-01-01 00:28:00,5G,-101.4,-16.68,3.7239722036954532,848.55,418.69772281578895,7.965,0.5509767593448763,0.2144,1,0,36.82,10.17,100.0,43,1
CELL_019,2024-01-01 00:29:00,5G,-75.5,-3.11,-4.433988041753533,41.45,13.299816167638161,27.616,3.1905858828076434,1.7638,1,0,36.82,10.17,29.8,189,1
CELL_007,2024-01-01 00:30:00,5G,-99.7,-19.32,2.4116757759702834,883.02,409.51295236961505,3.484,0.420452998760421,1.2315,1,0,36.82,10.17,68.7,39,1
CELL_009,2024-01-01 00:31:00,5G,-84.2,-13.36,19.791386548160887,824.23,360.54333986456294,7.547,0.8899719033181972,0.199,1,0,36.82,10.17,78.3,54,1
CELL_007,2024-01-01 00:32:00,5G,-108.4,-13.3,-1.3833865898805735,782.25,374.333884903917,11.713,2.08901627945055,0.2123,1,0,36.82,10.17,65.8,44,1
CELL_018,2024-01-01 00:33:00,5G,-100.0,-13.87,-1.038896817077232,45.4,14.723904423707516,24.841,4.321423677259255,0.765,1,0,36.82,10.17,22.1,234,1
CELL_004,2024-01-01 00:34:00,5G,-90.1,-16.88,15.798801664023074,797.54,330.293953750527,11.18,1.7616406799346005,0.3708,1,0,36.82,10.17,76.1,45,1
CELL_014,2024-01-01 00:35:00,5G,-82.0,-5.54,17.92914320057719,29.06,12.313511995587247,19.915,3.3038931660395563,0.5237,1,0,36.82,10.17,18.6,201,1
CELL_018,2024-01-01 00:36:00,5G,-110.8,-4.0,7.564661296229513,1084.53,517.7150298264417,2.99,0.173082590329416,0.1381,1,0,36.82,10.17,78.1,5,1
CELL_009,2024-01-01 00:37:00,5G,-96.9,-12.88,9.976368267937284,326.15,126.35600700662312,2.268,0.3181029547152109,0.0209,1,0,36.82,10.17,55.9,12,1
CELL_002,2024-01-01 00:38:00,5G,-107.3,-18.49,16.115388488423573,212.38,80.26382767154588,2.283,0.2768455428387766,0.2024,1,0,36.82,10.17,56.9,8,0
CELL_020,2024-01-01 00:39:00,5G,-75.7,-15.72,18.51548059560593,225.1,112.54534843436743,2.161,0.24460807393928366,0.0958,1,0,36.82,10.17,48.9,15,1
CELL_015,2024-01-01 00:40:00,5G,-87.2,-17.96,18.034276961746983,976.66,361.0081387003648,7.326,0.9525700911929557,0.3394,1,0,36.82,10.17,82.1,55,1
CELL_007,2024-01-01 00:41:00,5G,-85.0,-9.14,15.019865657851852,232.98,81.87994327572495,1.916,0.23337709814699328,0.0106,1,0,36.82,10.17,58.2,14,1
CELL_012,2024-01-01 00:42:00,5G,-101.4,-8.14,8.391202394940116,343.43,105.37218121447117,1.875,0.14756702083236597,0.0709,1,0,36.82,10.17,61.3,13,1
CELL_008,2024-01-01 00:43:00,5G,-80.4,-17.1,8.445791774131933,1131.48,510.5995285841104,5.753,1.1167429113557845,0.2267,1,0,36.82,10.17,79.1,9,1
CELL_015,2024-01-01 00:44:00,5G,-87.1,-16.72,12.332816434685373,1097.83,436.4184735283782,5.927,1.0029663242559366,0.412,1,0,36.82,10.17,92.2,5,1
CELL_003,2024-01-01 00:45:00,5G,-93.0,-10.25,-2.3004323916955394,34.21,11.851752731521689,19.026,1.0878904506931764,0.5794,1,0,36.82,10.17,31.0,187,1
CELL_014,2024-01-01 00:46:00,5G,-104.6,-10.93,20.830207023958433,45.19,17.829883878253856,31.939,5.984792593306094,0.9415,1,0,36.82,10.17,33.7,199,1
CELL_017,2024-01-01 00:47:00,5G,-112.0,-8.5,11.029919901820563,213.18,97.44453465796423,2.258,0.3752653907963238,0.005,1,0,36.82,10.17,42.4,10,1
CELL_004,2024-01-01 00:48:00,5G,-98.3,-12.23,29.973861659941363,227.97,106.78299045798128,1.813,0.20700334422328343,0.0032,1,0,36.82,10.17,65.2,10,1
CELL_018,2024-01-01 00:49:00,5G,-89.5,-7.7,20.899878840906915,50.87,18.397587522602628,17.408,2.8956334583983687,5.7075,1,0,36.82,10.17,36.2,189,0
CELL_008,2024-01-01 00:50:00,5G,-77.0,-5.24,1.9306631710885869,827.1,363.1153869308962,7.665,1.4225912268243979,1.0779,1,0,36.82,10.17,76.4,57,1
CELL_004,2024-01-01 00:51:00,5G,-73.7,-12.25,12.552894838269484,1193.71,400.6336726978561,6.01,0.941991667807922,0.3613,1,0,36.82,10.17,50.3,9,1
CELL_002,2024-01-01 00:52:00,5G,-116.4,-10.52,14.901437335866383,331.58,143.55918315881854,1.226,0.12818152669261046,0.056,1,0,36.82,10.17,47.9,9,1
CELL_006,2024-01-01 00:53:00,5G,-97.8,-12.41,6.918050447688186,214.53,65.95954021208894,2.137,0.13159899942876044,0.0557,1,0,36.82,10.17,50.7,22,1
CELL_010,2024-01-01 00:54:00,5G,-79.5,-12.73,5.040368547821084,13.8,6.5803923371953195,27.232,3.7894662089742255,0.0016,1,0,36.82,10.17,25.1,192,1
CELL_004,2024-01-01 00:55:00,5G,-110.2,-12.04,17.114834905453446,1142.66,425.30096432616347,3.928,0.43788416659217766,0.1082,1,0,36.82,10.17,97.6,8,1
CELL_018,2024-01-01 00:56:00,5G,-86.2,-12.95,3.676068096117323,821.52,392.41293479851043,10.888,1.6686326046882176,0.5751,1,0,36.82,10.17,79.0,47,1
CELL_012,2024-01-01 00:57:00,5G,-73.4,-8.33,28.211098808136718,19.93,7.064189123758198,23.29,4.596139603202464,0.2592,1,0,36.82,10.17,25.0,196,1
CELL_002,2024-01-01 00:58:00,5G,-80.5,-18.72,19.061184311850756,271.2,113.01914775272645,1.265,0.23003434946683918,0.0314,1,0,36.82,10.17,48.8,11,1
CELL_010,2024-01-01 00:59:00,5G,-84.2,-6.25,18.81527269897508,806.32,325.822510549889,8.638,0.7546774695745561,0.0873,1,0,36.82,10.17,62.9,36,1
CELL_004,2024-01-01 01:00:00,5G,-81.0,-13.82,26.987678449033133,51.28,25.615729318257575,0.728,0.06349088282207671,0.0398,1,0,36.82,10.17,51.7,174,1
CELL_014,2024-01-01 01:01:00,5G,-98.4,-17.84,6.844130641185846,268.35,106.86598070409062,1.838,0.24681397146274817,0.0671,1,0,36.82,10.17,68.8,12,1
CELL_016,2024-01-01 01:02:00,5G,-113.1,-3.03,29.004311348920737,423.68,138.00155592288144,1.848,0.3032250277202878,0.0206,1,0,36.82,10.17,43.6,11,1
CELL_015,2024-01-01 01:03:00,5G,-90.4,-7.83,10.080923520062136,811.6,251.68563605260724,8.332,1.1575484136552063,0.3008,1,0,36.82,10.17,64.7,41,1
CELL_008,2024-01-01 01:04:00,5G,-109.6,-17.23,0.2394003143715322,156.94,56.85883943524292,2.402,0.1233486133703353,0.035,1,0,36.82,10.17,52.1,7,1
CELL_014,2024-01-01 01:05:00,5G,-82.0,-12.3,0.1828132197590433,337.48,156.23500997584264,1.829,0.34564827359836453,0.0393,1,0,36.82,10.17,50.5,9,1
CELL_008,2024-01-01 01:06:00,5G,-85.9,-15.73,9.587711268741183,288.74,99.78261406921591,2.082,0.26020254176847096,0.0551,1,0,36.82,10.17,66.4,13,1
CELL_016,2024-01-01 01:07:00,5G,-121.52343792578557,-16.55,-4.855423290684994,752.72,257.0656275649059,12.03,1.8166464351802878,0.4135,1,1,36.82,10.17,72.0,34,1
CELL_013,2024-01-01 01:08:00,5G,-74.1,-9.65,21.926475628194787,1195.54,429.38551015452515,4.844,0.6246719289507441,0.404,1,0,36.82,10.17,76.4,9,1
CELL_018,2024-01-01 01:09:00,5G,-112.1,-9.09,-0.11358013543106171,291.92,131.83467889245807,1.617,0.24181655846332759,0.0319,1,0,36.82,10.17,64.7,17,1
CELL_015,2024-01-01 01:10:00,5G,-82.8,-17.62,20.125720415576403,54.35,21.392781693743377,38.097,4.499467893898466,0.1856,1,0,36.82,10.17,46.0,198,1
CELL_013,2024-01-01 01:11:00,5G,-89.1,-17.61,20.388144524326076,249.23,111.2863935608751,1.342,0.13863041292485073,0.0288,1,0,36.82,10.17,60.9,6,1
CELL_009,2024-01-01 01:12:00,5G,-86.5,-12.01,22.162167784210247,886.56,354.39238327240054,5.706,1.1405637563158781,0.0142,1,0,36.82,10.17,70.6,58,1
CELL_015,2024-01-01 01:13:00,5G,-108.7,-9.13,27.76016625133996,229.01,76.36953152430327,1.435,0.18825052945027843,0.014,1,0,36.82,10.17,52.8,7,1
CELL_013,2024-01-01 01:14:00,5G,-96.7,-19.02,25.03388033301737,113.86,51.86938809426542,1.409,0.21334768502961007,0.0449,0,0,36.82,10.17,70.3,12,1
CELL_001,2024-01-01 01:15:00,5G,-81.7,-7.35,26.629411625499863,289.97,120.69166829157346,1.901,0.1278303607776283,0.1006,1,0,36.82,10.17,44.5,17,0
CELL_007,2024-01-01 01:16:00,5G,-94.3,-9.64,28.89094537395384,284.46,92.61724288662774,1.601,0.21983390331197505,0.0555,0,0,36.82,10.17,66.1,17,1
CELL_009,2024-01-01 01:17:00,5G,-81.5,-18.12,29.94527694745006,367.1,121.48226002946745,1.556,0.2568292001803304,0.0511,1,0,36.82,10.17,48.3,12,1
CELL_001,2024-01-01 01:18:00,5G,-90.0,-15.62,8.402138250170198,915.01,427.5803729130036,7.299,1.4196070649747348,0.6201,1,0,36.82,10.17,76.1,43,1
CELL_012,2024-01-01 01:19:00,5G,-117.6,-16.67,23.061933309282207,211.18,64.14207009416548,1.53,0.10141795658102666,0.0377,1,0,36.82,10.17,39.6,11,1
CELL_008,2024-01-01 01:20:00,5G,-116.0,-18.0,25.690170305360972,986.18,407.1050211997357,9.333,0.8750518785768551,0.0927,1,0,36.82,10.17,74.8,35,1
CELL_011,2024-01-01 01:21:00,5G,-105.8,-15.87,-4.954618611112144,807.73,347.3903099908424,9.596,0.48424173042411,0.3606,1,0,36.82,10.17,64.6,43,1
CELL_019,2024-01-01 01:22:00,5G,-93.0,-5.37,29.15297554152155,1067.33,498.30312776163976,3.125,0.2898876020853113,0.3409,1,0,36.82,10.17,80.8,10,1
CELL_017,2024-01-01 01:23:00,5G,-114.8,-12.22,-4.113994775682068,303.36,132.5406462899652,1.71,0.19086597084812384,0.0261,1,0,36.82,10.17,52.2,8,1
CELL_008,2024-01-01 01:24:00,5G,-94.1,-16.66,28.346587486094023,320.49,108.95759087318572,1.048,0.10788666855214053,0.0289,1,0,36.82,10.17,59.1,12,1
CELL_003,2024-01-01 01:25:00,5G,-105.1,-16.9,14.527189092542457,218.87,101.25535919847884,2.08,0.37444912174296757,0.1286,1,0,36.82,10.17,65.2,15,0
CELL_003,2024-01-01 01:26:00,5G,-71.8,-4.09,3.076714254925575,930.07,291.25827991844085,5.091,0.721559135042091,0.0167,1,0,36.82,10.17,73.3,2,1
CELL_001,2024-01-01 01:27:00,5G,-88.7,-13.33,18.186787821320696,331.52,156.15325007919932,2.472,0.29224699532663584,0.0678,1,0,36.82,10.17,36.2,10,1
CELL_005,2024-01-01 01:28:00,5G,-111.9,-19.79,12.794852201541978,44.82,17.20196813249198,27.271,4.47710882780926,0.311,1,0,36.82,10.17,36.8,195,1
CELL_010,2024-01-01 01:29:00,5G,-75.4,-16.14,17.75763231799068,734.0,251.08350258589002,9.228,1.3869972589019617,0.0109,1,0,36.82,10.17,68.0,39,1
CELL_007,2024-01-01 01:30:00,5G,-106.4,-19.94,12.928530193825356,1607.27,576.7585409879038,5.254,0.7396340895382005,0.0369,1,0,36.82,10.17,77.7,8,1
CELL_009,2024-01-01 01:31:00,5G,-95.6,-9.05,25.573638609521698,19.05,5.730083230695775,31.323,4.529419105879414,0.6031,1,0,36.82,10.17,40.2,203,1
CELL_007,2024-01-01 01:32:00,5G,-113.2,-18.6,-4.788508812223846,41.94,18.371256759564563,30.758,3.5891535243570765,1.7388,1,0,36.82,10.17,18.6,204,1
CELL_009,2024-01-01 01:33:00,5G,-87.2,-5.69,2.8649276179056073,709.77,293.75897719542786,8.185,0.9828306306845419,0.002,1,0,36.82,10.17,85.3,43,1
CELL_008,2024-01-01 01:34:00,5G,-75.1,-17.46,19.604162633294983,915.99,361.1714387946575,9.622,1.5827306819696796,0.1119,1,0,36.82,10.17,74.0,55,1
CELL_012,2024-01-01 01:35:00,5G,-77.8,-16.67,7.368703249726924,877.84,393.7911080345177,7.354,1.0441460272397298,0.8267,1,0,36.82,10.17,82.2,57,1
CELL_002,2024-01-01 01:36:00,5G,-100.0,-11.79,-3.5432774386232726,814.86,339.35442845048897,8.656,0.4649279245467531,0.6619,1,0,36.82,10.17,85.1,40,1
CELL_001,2024-01-01 01:37:00,5G,-76.8,-15.15,22.604597711667765,32.48,15.337420211313182,14.022,2.1824376899117426,1.3916,1,0,36.82,10.17,23.9,187,1
CELL_016,2024-01-01 01:38:00,5G,-104.4,-12.55,-0.6268633223128264,848.24,256.3293294697946,8.619,0.8300145239949382,0.4526,1,0,36.82,10.17,72.6,50,1
CELL_005,2024-01-01 01:39:00,5G,-86.0,-10.68,20.4748535378026,672.6,220.19856244406262,10.426,1.3996088001892188,0.1359,1,0,36.82,10.17,48.5,38,1
CELL_003,2024-01-01 01:40:00,5G,-81.2,-9.57,11.917469055147649,869.11,285.2442120904953,7.606,1.357808300817818,0.2301,1,0,36.82,10.17,81.4,41,1
CELL_012,2024-01-01 01:41:00,5G,-89.3,-7.71,24.030624187555375,852.55,364.6123471688645,474.90614352653205,72.91016352636471,20.233180427253906,1,1,36.82,10.17,62.7,50,1
CELL_008,2024-01-01 01:42:00,5G,-100.5,-6.23,4.347362995874144,919.95,386.8336687560238,9.734,1.3221252483351995,0.9605,1,0,36.82,10.17,71.8,33,1
CELL_003,2024-01-01 01:43:00,5G,-105.4,-6.77,8.277007785912781,74.74,31.783403766734004,22.034,2.327095604294604,0.0718,1,0,36.82,10.17,34.3,208,1
CELL_001,2024-01-01 01:44:00,5G,-70.5,-13.81,25.40097570847926,268.57,117.63139233520575,2.017,0.2545915081654627,0.0313,1,0,36.82,10.17,49.9,6,1
CELL_003,2024-01-01 01:45:00,5G,-129.18346397672008,-4.51,-7.782505812136086,552.91,248.57060950488716,8.751,1.2251762536525446,0.0699,1,1,36.82,10.17,86.3,51,1
CELL_005,2024-01-01 01:46:00,5G,-82.8,-7.32,-1.1121781933893793,235.13,116.61216656949938,1.629,0.23573690130547947,0.1163,1,0,36.82,10.17,73.9,10,0
CELL_015,2024-01-01 01:47:00,5G,-102.6,-6.32,29.847345385227605,301.36,119.97024249107739,2.263,0.31069316389898305,0.014,1,0,36.82,10.17,66.0,12,1
CELL_014,2024-01-01 01:48:00,5G,-97.3,-5.14,18.464535169751837,639.17,251.35332650022522,8.807,1.0875037060781132,0.7999,1,0,36.82,10.17,73.1,39,1
CELL_003,2024-01-01 01:49:00,5G,-92.5,-18.12,12.742492802796534,155.15,69.6652567748874,2.202,0.4292126646766086,0.0109,1,0,36.82,10.17,56.5,8,1
CELL_001,2024-01-01 01:50:00,5G,-113.5,-5.67,27.11697344022071,31.09,15.329011154634648,19.638,3.7402729297642017,0.6061,1,0,36.82,10.17,46.3,180,1
CELL_005,2024-01-01 01:51:00,5G,-91.8,-7.49,29.021608005979488,69.03,31.927291771665026,18.771,2.9439079613737698,0.501,1,0,36.82,10.17,41.4,214,1
CELL_014,2024-01-01 01:52:00,5G,-76.2,-4.98,-4.683440998511579,32.42,12.21239791807767,14.52,2.5358533737403643,2.4635,1,0,36.82,10.17,15.9,192,1
CELL_007,2024-01-01 01:53:00,5G,-82.4,-12.17,17.823097708071792,614.24,206.81753393573211,8.139,1.520354090883569,0.3125,1,0,36.82,10.17,60.7,43,1
CELL_009,2024-01-01 01:54:00,5G,-100.2,-3.29,2.061965743016974,1382.25,469.4866677895735,4.338,0.43340878585198483,0.0681,1,0,36.82,10.17,87.6,6,1
CELL_015,2024-01-01 01:55:00,5G,-89.1,-19.06,27.346773301302548,34.12,14.988722724608644,19.746,3.829655657242445,0.4299,1,0,36.82,10.17,21.4,180,1
CELL_015,2024-01-01 01:56:00,5G,-74.8,-16.99,13.980768624651756,1508.02,486.46035909531133,5.468,0.8183708871459298,0.0441,1,0,36.82,10.17,87.4,8,1
CELL_010,2024-01-01 01:57:00,5G,-99.5,-19.52,10.283675652069089,900.39,312.5339318104592,9.191,1.541048236058712,0.0434,1,0,36.82,10.17,95.6,41,1
CELL_013,2024-01-01 01:58:00,5G,-81.6,-18.79,23.208640293966155,1134.26,487.5379980021833,3.093,0.2647541220023194,0.1085,1,0,36.82,10.17,73.1,5,1
CELL_019,2024-01-01 01:59:00,5G,-82.4,-14.23,15.622970302130017,64.35,28.256598560239766,39.276,6.958051220972112,0.5996,1,0,36.82,10.17,33.3,187,1
CELL_007,2024-01-01 02:00:00,5G,-115.2,-19.36,0.0506947147124146,16.29,5.090128386936799,13.578,1.689825706713722,1.4965,1,0,36.82,10.17,50.1,224,1
CELL_017,2024-01-01 02:01:00,5G,-119.2,-18.18,20.964030579253414,801.53,250.82758679770035,11.197,1.4378246281041893,0.1878,1,0,36.82,10.17,70.0,43,1
CELL_020,2024-01-01 02:02:00,5G,-108.7,-4.74,3.353679084161028,51.7,17.393041240715846,10.691,0.9578487931237869,0.0794,1,0,36.82,10.17,48.5,182,1
CELL_004,2024-01-01 02:03:00,5G,-79.4,-17.33,7.861621299837109,1507.6,608.493651442524,4.73,0.549975651662432,0.0068,1,0,36.82,10.17,86.7,8,1
CELL_005,2024-01-01 02:04:00,5G,-112.9,-6.04,4.549326100957071,216.22,87.90365968532761,1.313,0.25434310315603537,0.1062,1,0,36.82,10.17,40.7,7,0
CELL_007,2024-01-01 02:05:00,5G,-110.4,-18.84,-3.4021201054239896,247.1,115.1776217414847,1.684,0.21947489566824097,0.006,1,0,36.82,10.17,58.4,5,1
CELL_013,2024-01-01 02:06:00,5G,-91.7,-4.67,2.499095798103582,1261.78,482.3445592107,4.889,0.8987311611309547,0.171,1,0,36.82,10.17,70.8,5,1
CELL_015,2024-01-01 02:07:00,5G,-90.5,-7.73,10.140301118074143,313.42,139.2673406011738,2.082,0.3392648107845966,0.1112,0,0,36.82,10.17,54.9,10,0
CELL_011,2024-01-01 02:08:00,5G,-95.3,-18.56,19.020440726315734,217.51,98.90293810686431,1.969,0.2867180727945667,0.0294,1,0,36.82,10.17,48.9,8,1
CELL_004,2024-01-01 02:09:00,5G,-87.4,-10.91,-0.8228303437443598,191.24,94.35048974217509,1.817,0.11772010324501132,0.0148,1,0,36.82,10.17,56.8,13,1
CELL_013,2024-01-01 02:10:00,5G,-109.8,-8.31,-3.187377315657579,1377.69,677.4506875972072,4.411,0.5457335489684609,0.0368,1,0,36.82,10.17,80.0,2,1
CELL_007,2024-01-01 02:11:00,5G,-116.4,-14.47,25.52326473227041,757.02,290.381501405226,8.859,0.8362151353881181,1.358,1,0,36.82,10.17,45.8,53,1
CELL_019,2024-01-01 02:12:00,5G,-99.6,-15.53,28.544315082699363,203.79,81.86310836020718,1.45,0.11031916336094814,0.0125,1,0,36.82,10.17,49.8,8,1
CELL_002,2024-01-01 02:13:00,5G,-76.0,-17.37,-2.3178006649109326,204.51,85.26449452455269,2.3,0.41832997184824133,0.0754,0,0,36.82,10.17,57.4,9,1
CELL_010,2024-01-01 02:14:00,5G,-76.1,-12.59,8.637064167264795,38.94,16.51332980217362,31.846,4.818506307326377,0.5509,1,0,36.82,10.17,30.8,163,1
CELL_013,2024-01-01 02:15:00,5G,-103.3,-14.57,17.919109801713983,245.0,100.31751652908353,2.049,0.3637379121452947,0.0077,1,0,36.82,10.17,42.4,9,1
CELL_006,2024-01-01 02:16:00,5G,-73.3,-11.3,23.805141778172903,1269.62,588.1014201315378,4.109,0.4566722303714737,0.2853,1,0,36.82,10.17,71.8,8,1
CELL_012,2024-01-01 02:17:00,5G,-91.4,-7.81,24.786280878080877,1793.9,597.2554473378977,5.284,0.5893196929387298,0.1259,1,0,36.82,10.17,84.4,11,1
CELL_012,2024-01-01 02:18:00,5G,-103.2,-13.35,-1.6360378666303848,868.04,315.0415859879102,9.009,1.0732436532933876,0.0022,1,0,36.82,10.17,72.4,39,1
CELL_020,2024-01-01 02:19:00,5G,-79.5,-11.41,16.244427342442453,206.93,94.3256079580862,1.917,0.16306680506257148,0.0785,1,0,36.82,10.17,55.2,12,1
CELL_011,2024-01-01 02:20:00,5G,-100.5,-18.14,-1.7030320182185292,944.31,377.94710412057026,10.294,1.6402225171148965,0.1462,1,0,36.82,10.17,77.0,54,1
CELL_007,2024-01-01 02:21:00,5G,-70.2,-12.61,3.9943607945855213,780.66,235.43397467677303,7.744,1.3095402564865324,0.5099,1,0,36.82,10.17,83.2,57,1
CELL_001,2024-01-01 02:22:00,5G,-115.4,-18.93,15.668313719668092,246.66,109.30182304209683,1.723,0.1250204848045657,0.0068,1,0,36.82,10.17,56.1,7,1
CELL_001,2024-01-01 02:23:00,5G,-70.5,-7.13,25.258723269718015,1135.2,434.17106924597505,5.002,0.32991120268528823,0.6687,1,0,36.82,10.17,63.8,6,0
CELL_020,2024-01-01 02:24:00,5G,-96.4,-5.5,6.543137030339034,48.82,19.49142653688337,34.548,2.9550006156494892,2.4577,1,0,36.82,10.17,41.9,206,1
CELL_013,2024-01-01 02:25:00,5G,-112.1,-13.23,11.519890710478887,630.73,274.9723489818544,7.649,1.523743047823593,0.3906,1,0,36.82,10.17,73.6,41,1
CELL_009,2024-01-01 02:26:00,5G,-93.6,-4.89,18.73652104286101,736.04,333.1772667538935,6.052,0.7976606966558416,3.153,1,0,36.82,10.17,59.9,58,0
CELL_003,2024-01-01 02:27:00,5G,-88.0,-3.94,29.735023702864773,203.85,95.32111784917002,2.108,0.17341028666805244,0.0291,1,0,36.82,10.17,53.2,17,1
CELL_007,2024-01-01 02:28:00,5G,-90.8,-12.53,23.538543862275816,242.65,86.3137011273933,1.405,0.10088617719991642,0.0107,1,0,36.82,10.17,60.5,12,1
CELL_006,2024-01-01 02:29:00,5G,-70.6,-12.53,14.475158090744003,939.44,368.2904040906924,7.651,1.177143515253977,0.1456,1,0,36.82,10.17,69.8,38,1
CELL_008,2024-01-01 02:30:00,5G,-85.8,-14.69,5.7482532626399525,38.4,15.910882016167804,26.17,4.293523054990058,1.2713,1,0,36.82,10.17,23.2,203,1
CELL_009,2024-01-01 02:31:00,5G,-73.2,-15.08,-3.005483216148562,1244.03,513.1478773850854,4.766,0.6718319409081818,0.2075,1,0,36.82,10.17,86.4,7,1
CELL_005,2024-01-01 02:32:00,5G,-77.0,-13.89,-3.614053443122695,184.89,60.45688970998238,2.308,0.3347199824099551,0.1717,1,0,36.82,10.17,40.4,7,0
